id,batchnum,condition,case,consistency
5d482ea721c9be351f762ef8,26,individual,1,0
5d482ea821c9be351f76312e,26,individual,1,1
5d482ea721c9be351f762ef8,26,ind in groups,0,0
,27,group,0,1
,27,nominal,1,1
5e9f366c9dc0406f8987761f,27,individual,1,1
5d482eaa21c9be351f76399c,27,ind in groups,0,0
5d482eaa21c9be351f763b2d,27,ind in groups,0,1
5e9f366c9dc0406f8987761f,27,ind in groups,0,1
5e9f38249dc0406f8987768b,27,ind in groups,0,1
,28,group,0,0
,28,nominal,1,1
5ea0969c9dc0406f8988301d,28,individual,1,1
5ea0c87e9dc0406f898895c7,28,individual,1,1
5ea0ca2c9dc0406f89889629,28,individual,1,1
5d482ea821c9be351f7630e1,28,ind in groups,0,0
5d482eaa21c9be351f763b0f,28,ind in groups,0,0
5d482eab21c9be351f763eae,28,ind in groups,0,0
5ea0969c9dc0406f8988301d,28,ind in groups,0,0
5ea0c87e9dc0406f898895c7,28,ind in groups,0,0
5ea0ca2c9dc0406f89889629,28,ind in groups,0,0
,29,group,0,1
,29,nominal,1,1
5d482ea721c9be351f762f75,29,individual,1,1
5d482eaa21c9be351f763a60,29,individual,1,1
5d482eab21c9be351f763e96,29,individual,1,0
5d482eab21c9be351f7640f7,29,individual,1,1
5de2ba46b50e5a679ae873f9,29,individual,1,1
5e9f147a9dc0406f898754ae,29,individual,1,0
5d482ea721c9be351f762f75,29,ind in groups,0,1
5d482eab21c9be351f763e96,29,ind in groups,0,1
5de2ba46b50e5a679ae873f9,29,ind in groups,0,1
,30,group,0,0
,30,nominal,1,1
5ea06bb89dc0406f8987c3bf,30,individual,1,0
5ea07c529dc0406f8987f80b,30,individual,1,1
5ea0a7869dc0406f89885172,30,individual,1,1
5ea0a13c9dc0406f89883cf0,30,ind in groups,0,1
,31,group,1,1
,31,nominal,0,0
5d482eaa21c9be351f763936,31,individual,0,0
5d482eaa21c9be351f763936,31,ind in groups,1,1
5e9f3b1c9dc0406f89877985,31,ind in groups,1,0
5ea0ce1e9dc0406f898899ba,31,ind in groups,1,1
,32,group,0,1
,32,nominal,1,0
5d482ea821c9be351f763550,32,individual,1,0
5d482ea921c9be351f7636b3,32,individual,1,0
5ea0d1529dc0406f89889dde,32,individual,1,1
5d482ea821c9be351f763550,32,ind in groups,0,0
5d482ea921c9be351f7636b3,32,ind in groups,0,1
5d482eab21c9be351f763f0a,32,ind in groups,0,1
5ea0d24c9dc0406f89889f5f,32,ind in groups,0,1
,33,group,0,0
,33,nominal,1,1
5ea0d59e9dc0406f8988a5f0,33,individual,1,0
5d482eaa21c9be351f763bbc,33,ind in groups,0,0
5ea0d1f29dc0406f89889eef,33,ind in groups,0,1
5ea0d59e9dc0406f8988a5f0,33,ind in groups,0,1
,34,group,0,0
,34,nominal,1,1
5d482ea821c9be351f763456,34,individual,1,0
5d482eab21c9be351f764138,34,individual,1,1
5d482ea721c9be351f76308e,34,ind in groups,0,1
,35,group,0,1
,35,nominal,1,0
5d482ea821c9be351f76310c,35,individual,1,1
5d482ea921c9be351f7636fb,35,individual,1,0
5d482eaa21c9be351f763af0,35,individual,1,0
5d482ea821c9be351f76310c,35,ind in groups,0,1
5d482ea921c9be351f7636fb,35,ind in groups,0,1
5d482eaa21c9be351f763b6e,35,ind in groups,0,0
5d482eaa21c9be351f763af0,35,ind in groups,0,1
,36,group,1,1
,36,nominal,0,1
5d482ea721c9be351f762dbf,36,individual,0,1
5d482ea821c9be351f76322c,36,individual,0,1
5d482ea821c9be351f763435,36,individual,0,1
5d482ea821c9be351f763435,36,ind in groups,1,1
,37,group,1,1
,37,nominal,0,1
5d482ea721c9be351f762d69,37,individual,0,1
5d482ea821c9be351f76309e,37,individual,0,1
5d482ea721c9be351f762d69,37,ind in groups,1,0
5d482ea821c9be351f76309e,37,ind in groups,1,1
5d482ea821c9be351f763232,37,ind in groups,1,1
,38,group,1,1
,38,nominal,0,0
5d482ea721c9be351f762dea,38,individual,0,1
5d482ea721c9be351f762e52,38,individual,0,1
5d482eaa21c9be351f763a08,38,individual,0,1
5e9de5329dc0406f8987225d,38,individual,0,0
5e9f0aa29dc0406f8987499b,38,individual,0,0
5ea0ded69dc0406f8988c09b,38,individual,0,1
5ea1b66cde5d74641b66face,38,individual,0,0
5d482ea721c9be351f762dea,38,ind in groups,1,1
5d482eaa21c9be351f763a08,38,ind in groups,1,1
5e9de5329dc0406f8987225d,38,ind in groups,1,0
5e9f0aa29dc0406f8987499b,38,ind in groups,1,0
5ea0ded69dc0406f8988c09b,38,ind in groups,1,1
5ea1b66cde5d74641b66face,38,ind in groups,1,0
,39,group,0,1
,39,nominal,1,0
5ea1bd4cde5d74641b6704e8,39,individual,1,0
5d482ea821c9be351f7630f1,39,ind in groups,0,1
5e9dec449dc0406f898726b6,39,ind in groups,0,1
5ea1bd4cde5d74641b6704e8,39,ind in groups,0,1
,40,group,0,0
,40,nominal,1,0
5ea097789dc0406f8988302a,40,individual,1,0
5ea0deb89dc0406f8988c091,40,individual,1,1
5ea0f0f69dc0406f8988e1fc,40,individual,1,1
5ea1bc66de5d74641b6704c6,40,individual,1,1
5d482eaa21c9be351f763ad8,40,ind in groups,0,0
5ea097789dc0406f8988302a,40,ind in groups,0,1
5ea1bc66de5d74641b6704c6,40,ind in groups,0,1
,41,group,1,1
,41,nominal,0,0
5d482ea621c9be351f762a2a,41,individual,0,0
5d482eab21c9be351f763f3a,41,individual,0,1
5d482ea621c9be351f762a2a,41,ind in groups,1,1
5d482eab21c9be351f763f3a,41,ind in groups,1,0
,42,group,1,0
,42,nominal,0,0
5d482ea621c9be351f762aa4,42,individual,0,1
5d482ea721c9be351f762dda,42,individual,0,0
5d482ea821c9be351f7631f3,42,individual,0,1
5d482ea621c9be351f762aa4,42,ind in groups,1,0
5d482ea721c9be351f762dda,42,ind in groups,1,0
5d482ea821c9be351f7631f3,42,ind in groups,1,0
,43,group,0,1
,43,nominal,1,0
5d482ea621c9be351f76281b,43,individual,1,0
5d482ea621c9be351f76281b,43,ind in groups,0,1
,44,group,0,0
,44,nominal,1,0
5d482ea621c9be351f762779,44,individual,1,1
5d482ea621c9be351f7628db,44,individual,1,1
5ea1c742de5d74641b670c40,44,individual,1,1
5d482ea621c9be351f762779,44,ind in groups,0,1
5d482ea621c9be351f7628db,44,ind in groups,0,0
5ea1c742de5d74641b670c40,44,ind in groups,0,0
,45,group,0,0
,45,nominal,1,1
5d482ea521c9be351f762719,45,individual,1,1
5d482ea621c9be351f7627ba,45,individual,1,0
5d482ea621c9be351f7628c8,45,individual,1,1
5d482ea621c9be351f76297b,45,individual,1,0
5d482ea721c9be351f76306b,45,individual,1,1
5e9f4f9e9dc0406f8987a4fe,45,individual,1,1
5d482ea521c9be351f762719,45,ind in groups,0,1
5d482ea621c9be351f7628c8,45,ind in groups,0,1
5d482ea621c9be351f76297b,45,ind in groups,0,1
5d482ea621c9be351f7629b7,45,ind in groups,0,1
5e9f4f9e9dc0406f8987a4fe,45,ind in groups,0,1
,46,group,1,0
,46,nominal,0,0
5d482ea621c9be351f76273d,46,individual,0,0
5d482ea621c9be351f762881,46,individual,0,0
5d482ea621c9be351f762976,46,individual,0,0
5d482ea621c9be351f762bbf,46,individual,0,1
5d482ea621c9be351f76273d,46,ind in groups,1,0
5d482ea621c9be351f762881,46,ind in groups,1,1
5d482ea621c9be351f762976,46,ind in groups,1,1
5d482ea621c9be351f762bbf,46,ind in groups,1,0
,47,group,0,1
,47,nominal,1,1
5d482ea621c9be351f762911,47,individual,1,1
5d482ea621c9be351f762a97,47,individual,1,1
5d482ea721c9be351f762cb3,47,individual,1,1
5ea12e4ade5d74641b66be98,47,individual,1,1
5d482ea621c9be351f762911,47,ind in groups,0,1
