"","id","batchnum","condition","case","consistency","Segment"
"197","",13,"nominal",1,1,"Before"
"198","5e9de5329dc0406f8987225e",13,"individual",1,1,"Before"
"199","5e9f0ade9dc0406f898749a7",13,"individual",1,1,"Before"
"200","5e9f35ea9dc0406f89877613",13,"individual",1,0,"Before"
"201","5e9f39d29dc0406f898777bf",13,"individual",1,1,"Before"
"202","5e9f3a0e9dc0406f898777e7",13,"individual",1,1,"Before"
"203","5e9de5329dc0406f8987225e",13,"ind in groups",0,0,"Before"
"204","5e9f0ade9dc0406f898749a7",13,"ind in groups",0,1,"Before"
"205","5e9f111e9dc0406f89874ff8",13,"ind in groups",0,0,"Before"
"206","5e9f35ea9dc0406f89877613",13,"ind in groups",0,1,"Before"
"207","5e9f39d29dc0406f898777bf",13,"ind in groups",0,0,"Before"
"208","5e9f3a0e9dc0406f898777e7",13,"ind in groups",0,1,"Before"
"209","",14,"group",0,1,"Before"
"210","",14,"nominal",1,0,"Before"
"211","5d482eab21c9be351f763ec2",14,"individual",1,1,"Before"
"212","5d482eab21c9be351f76409f",14,"individual",1,0,"Before"
"213","5d482eab21c9be351f764242",14,"individual",1,0,"Before"
"214","5e7e1e1431f4e454e196c310",14,"individual",1,1,"Before"
"215","5e8b38f636ec0e1294b35f12",14,"individual",1,1,"Before"
"216","5e9f35fe9dc0406f89877614",14,"individual",1,0,"Before"
"217","5e9f36309dc0406f89877619",14,"individual",1,0,"Before"
"218","5d482eab21c9be351f763ec2",14,"ind in groups",0,1,"Before"
"219","5d482eab21c9be351f76409f",14,"ind in groups",0,0,"Before"
"220","5d482eab21c9be351f764242",14,"ind in groups",0,1,"Before"
"221","5e8b38f636ec0e1294b35f12",14,"ind in groups",0,0,"Before"
"222","5e9f35fe9dc0406f89877614",14,"ind in groups",0,1,"Before"
"223","5e9f36309dc0406f89877619",14,"ind in groups",0,0,"Before"
"224","",15,"group",0,1,"Before"
"225","",15,"nominal",1,0,"Before"
"226","5d482eab21c9be351f7640ac",15,"individual",1,0,"Before"
"227","5e877a0ea44a3116d9b95d26",15,"individual",1,1,"Before"
"228","5e877a68a44a3116d9b95d7b",15,"individual",1,1,"Before"
"229","5e877f2ca44a3116d9b95f1d",15,"individual",1,0,"Before"
"230","5e9de51e9dc0406f8987225c",15,"individual",1,1,"Before"
"231","5e9ded209dc0406f898727ad",15,"individual",1,1,"Before"
"232","5d482eab21c9be351f7640ac",15,"ind in groups",0,0,"Before"
"233","5e877a0ea44a3116d9b95d26",15,"ind in groups",0,0,"Before"
"234","5e877a68a44a3116d9b95d7b",15,"ind in groups",0,0,"Before"
"235","5e877f2ca44a3116d9b95f1d",15,"ind in groups",0,0,"Before"
"236","5e9de51e9dc0406f8987225c",15,"ind in groups",0,1,"Before"
"237","5e9ded209dc0406f898727ad",15,"ind in groups",0,1,"Before"
"238","",16,"group",0,1,"Before"
"239","",16,"nominal",1,1,"Before"
"240","5d482ea921c9be351f763607",16,"individual",1,1,"Before"
"241","5d482ea921c9be351f763813",16,"individual",1,1,"Before"
"242","5ea0740a9dc0406f8987d411",16,"individual",1,0,"Before"
"243","5ea077a29dc0406f8987e162",16,"individual",1,1,"Before"
"244","5ea079969dc0406f8987ea64",16,"individual",1,0,"Before"
"245","5d482ea921c9be351f763607",16,"ind in groups",0,1,"Before"
"246","5d482ea921c9be351f763813",16,"ind in groups",0,1,"Before"
"247","5e9f36449dc0406f8987761b",16,"ind in groups",0,0,"Before"
"248","5ea0740a9dc0406f8987d411",16,"ind in groups",0,1,"Before"
"249","5ea077a29dc0406f8987e162",16,"ind in groups",0,1,"Before"
"250","5ea079969dc0406f8987ea64",16,"ind in groups",0,0,"Before"
"251","",17,"group",0,0,"Before"
"252","",17,"nominal",1,0,"Before"
"253","5d482ea921c9be351f763619",17,"individual",1,1,"Before"
"254","5d482ea921c9be351f763704",17,"individual",1,1,"Before"
"255","5d482ea921c9be351f7637ac",17,"individual",1,1,"Before"
